User Query,Action,Resource Sensitivity
Make some changes to the AI sales playbook document.,edit,Restricted
Edit the public open source contribution policy for publication.,edit,Public
Share the security policy on the public portal.,share,Public
Can you get the quota planning for me from the team folder?,download,Restricted
Please share the performance review criteria with department heads.,share,Restricted
Forward the NDA template to the team.,share,Restricted
Please open the public reconciliation procedures file.,read,Public
Download the sales playbook from the website.,download,Public
Erase all versions of the remote work policy document.,delete,Confidential
Update the incident response plan to include new figures.,edit,Confidential
Please delete the sensitive cloud setup guide file.,delete,Confidential
Delete the outdated territory allocation file from the restricted folder.,delete,Restricted
I want to save the public open source contribution policy document.,download,Public
Can you get the vendor checklist for me from the team folder?,download,Restricted
Download the vendor checklist for internal use only.,download,Confidential
Permanently delete the incident response plan from the records.,delete,Restricted
Download the security policy for internal use only.,download,Confidential
Permanently delete the code of conduct from the records.,delete,Restricted
Can you get the DEI strategy for me from the team folder?,download,Restricted
Please download the budget preparation document from the restricted area.,download,Restricted
Please delete the sensitive DEI strategy file.,delete,Confidential
Download the DEI strategy from the website.,download,Public
Please share the cloud setup guide with department heads.,share,Restricted
Let me read the confidential open source contribution policy document.,read,Confidential
I want to save the public territory allocation document.,download,Public
Can you get the quota planning for me from the team folder?,download,Restricted
Revise the confidential system architecture report.,edit,Confidential
Can I delete the general financial statements document?,delete,Public
Share the reconciliation procedures only with the leadership team.,share,Confidential
Read the system architecture and summarize it.,read,Public
Read the incident response plan and summarize it.,read,Public
Let me read the confidential reconciliation procedures document.,read,Confidential
I'd like to read the system architecture document.,read,Public
Please share the DEI strategy with department heads.,share,Restricted
Apply the necessary updates to the quota planning.,edit,Restricted
I'd like to read the open source contribution policy document.,read,Public
Publish the open source contribution policy online.,share,Public
Remove the device provisioning from the system immediately.,delete,Confidential
Please delete the sensitive territory allocation file.,delete,Confidential
Can I download the general incident response plan now?,download,Public
Can I delete the general budget preparation document document?,delete,Public
Download the sensitive incident response plan document from the vault.,download,Confidential
Apply the necessary updates to the open source contribution policy.,edit,Restricted
Can I delete the general device provisioning document?,delete,Public
I need to fetch the cloud setup guide file for analysis.,download,Restricted
Can you edit the restricted territory allocation file?,edit,Restricted
I'd like to read the system architecture document.,read,Public
Publish the device provisioning online.,share,Public
I'd like to read the AI sales playbook from the archive.,read,Restricted
Download the sensitive device provisioning document from the vault.,download,Confidential
Forward the system architecture to the team.,share,Restricted
Publish the reconciliation procedures online.,share,Public
Open and display the quota planning report.,read,Confidential
Let me read the confidential security policy document.,read,Confidential
Make some changes to the vendor checklist document.,edit,Restricted
Share the reconciliation procedures on the public portal.,share,Public
Modify the performance review criteria as needed.,edit,Public
Can I download the general budget preparation document now?,download,Public
Can I download the general performance review criteria now?,download,Public
Please delete the sensitive quota planning file.,delete,Confidential
Can you edit the restricted incident response plan file?,edit,Restricted
Show me the restricted onboarding guide now.,read,Restricted
Share the territory allocation on the public portal.,share,Public
Send the device provisioning to the restricted group.,share,Restricted
I need to review the AI sales playbook before the meeting.,read,Confidential
Download the DEI strategy from the website.,download,Public
Please download the system architecture from the restricted area.,download,Restricted
Can you get the reconciliation procedures for me from the team folder?,download,Restricted
Delete the quota planning PDF from downloads.,delete,Public
Let me read the confidential NDA template document.,read,Confidential
